6.1,6.7,86.5,1.47
41.5,1.9,93,0.1
11,5.9,88.5,1.83
19.7,4.9,88.25,1.43
14.4,9,79,1.37
0,7.5,82.5,1.43
10.4,6.8,86.5,0.87
39.1,7.9,84.75,1.5
13.6,7.1,84.75,0.9
13.4,3.5,88.25,1.13
17.8,0.3,86.75,0.77
6.8,5,84.75,0.6
5,3.2,81,1.5
17,4.1,89.5,1.2
6.9,4.9,88.5,0.43
8.4,7.3,84.5,1.03
5,6,88.5,0.93
11.1,4.9,87.5,0.77
2.4,4,88.25,0.73
16.5,4.2,82.75,1.07
0,4.5,81.25,1.2
6.4,5.7,86.5,1.53
25.3,6,88.75,1.47
15.3,4.8,86,0.87
21.7,0.7,91,0.33
14,4.5,84.5,1.53
2.2,7.4,81.25,1.27
0,3.4,85.25,0.53
6.7,1.3,85.5,0.63
11.1,3.8,85.5,0.67
3.9,3.9,84,0.5
14.8,4.8,82.75,2.17
4.6,0,87.25,0.23
25.2,2.2,88.25,0.47
27,4.5,90.5,0.5
29.8,1.9,90,0.5
44.6,6.5,82.25,1.73
5,1.7,86.25,0.63
2.8,1.6,90.5,0.33
23.6,4.7,88.5,1.83
5.6,2.1,84,1.4
2.2,4.1,85,0.8
4.8,2.8,91.25,0.6
161.2,0,96,0.37
39.4,4.6,87,1.03
19.7,8.3,82.5,0.6
22,1.7,91.25,0.23
11,1.8,91.25,0.5
8.1,3.4,86.25,1.13
8.8,2.8,89.25,1.1
1.9,4.8,83,1.07
0,5,82.75,1.9
14.7,7.3,81,1.2
11.8,7.5,82.75,1.03
1.6,5.6,87.25,1.87
46.2,3.2,89.5,1.37
24.8,7.7,87.5,1.07
32.3,7.9,84.5,1.1
19,7,84,1.43
0.7,6,87,0.83
13.7,5.5,87.5,2.13
69.4,6.3,87.75,0.77
5.1,6.1,87,0.43
12,4.2,88.5,0.53
25.8,2.9,87.5,1.47
3.5,3.3,90.5,1.1
66.7,0.5,92.25,1.27
46.2,4.9,88.25,0.97
2.4,5.2,86.25,0.93
1.5,7.1,89,0.87
24.9,4.4,89.25,0.6
12.2,5.4,85,1.3
7.2,4.6,88.5,0.27
1.8,6.8,89,0.87
21.4,4.5,86.5,1.37
1.2,2.7,91.25,0.23
12.2,2.8,91.5,0.53
51.3,0,95.25,0.23
77.1,0,92.5,0
1.4,0.2,91,0.5
3.7,8.1,79.75,1.77
0,2.8,84,1.17
1.8,5.5,81,1.07
0.5,0.2,91.75,0.33
24.5,5.4,85.75,1.2
20.6,7.1,82.75,0.97
0,7.2,79,1.4
0.6,1,86.25,1.63
3.2,1.5,91.5,0.6
19.7,3.1,88.25,1.77
9.6,7.5,85.5,1.27
0.5,5.8,90.25,1.27
55.4,7.8,86.25,1.13
1.8,0,83.5,1.13
0,5,86.5,1.3
30.4,3.3,91.25,0
51.5,4.2,89,0.3
30.9,5.2,88,1.13
10.8,6.5,88.25,1.47
14.8,4.1,90,0.4
30.2,2.5,89.75,0.77
15.7,6.6,85,1.2
4,6.3,87,0.97
21.1,7.8,83.25,1.67
15.3,8.8,85.25,1.47
0.3,5.8,86.75,0.93
46,4.2,87.75,0.73
3.6,4.1,89.25,0.37
36.4,2.1,89,0.3
3.4,6,85.75,0.13
34.4,3.9,86.75,0.1
11.7,5.6,87.75,0.63
26.7,7.5,79,1.13
0,7.3,82.75,0.37
0.2,7.8,80.75,1.13
17,1.8,94,0.57
7.9,4.7,89.25,0.93
18.4,4.1,89.5,0
23.4,3.1,89.25,0.23
5.6,7,84,0.34
12.4,5.8,85.5,0.47
10.4,8.9,77.75,0.9
0,7.7,84,1.2
63.5,6.9,84.5,0.6
14.8,5,87.25,0.43
20.2,4.4,84.75,0.87
30.5,6.1,85.5,1.27
8.6,2.9,91.5,0.53
14.5,5,90.5,0.67
10.6,6.5,88,0.87
18.9,8.1,82.5,0.9
8.6,6.3,86.25,1.27
11.1,4.4,88.75,1.37
13.6,5.6,84.5,0.07
16,6.1,83.75,1.33
25.4,7.8,78.5,1.57
11,6.9,80.5,1.17
9.2,8.8,79.75,0.93
2.4,5.5,83.75,1.2
0.4,8.1,78.25,1.5
0,5.3,86.5,1.07
11.7,7,84.75,1
6.4,5.4,87.75,0.43
14.9,2.4,88.75,0.03
15.2,5.8,84.5,0.53
12.2,5,87.25,0.97
8.2,5.4,84.5,1.2
3.8,8.7,79.5,1.27
6.6,9.3,78.75,1.23
28.5,9.3,72.25,1.47
0,9.4,77.25,1.37
0.8,9.1,76.75,1.8
0,8.4,75.5,1.23
0,9,79.5,0.8
1.8,9.1,77.5,0.97
0,6.4,82.25,0.87
4.2,7.3,84.75,1.07
16.8,6.7,84.75,1.03
0.2,6.9,80,0.6
0,5.5,79.75,1.87
14.7,6.6,81,0.83
10,5.8,84.75,1.2
4.4,4.4,84.25,1.07
10.4,8.7,77.75,1.47
0,9.2,73.5,1.77
0,8.6,77.25,1.43
0.5,9.7,79,1.7
8.5,9,80.5,1.4
8.8,8.5,81,1.07
11.2,9.5,77.25,1.4
3.4,7.9,82.5,1.3
17.4,7,85.75,0.97
6.6,9,81.5,1.5
8.6,7.4,80,1.2
0.1,7.8,75,1.77
0,8.9,81.25,0.73
5.6,8.7,80.75,0.1
0,6.2,81.75,0.43
7.3,4.4,81.75,1.17
0.2,6.4,88,0.8
9,8.4,82.5,0.97
0,5.7,83,0.57
66.6,3.1,89.5,0.97
3.4,7.7,80.75,1.43
14,7.1,83,0.77
0.6,8.7,80.5,1.57
1.7,9.1,74.75,1.23
0,9.1,80.5,0.53
0,9.5,80.75,0.9
19.6,6.2,81,1.5
3,8.3,82,1.03
5.2,6.6,79.5,0.83
0.1,9.7,71.75,1.07
0.4,0.5,82.25,1.27
0,0,92,0
0,8.8,82.75,1.2
1.1,6.3,78.25,1.87
2,8.4,77.75,1.17
3,9.5,73.75,1.8
9.4,9.2,79.25,1.07
0.9,4,89.25,0.93
12.8,9.8,75.75,1.57
7.8,7.5,83.25,1.57
31.5,4.8,83.25,1.03
10.9,5.7,82,0.17
0,7.3,84,1.63
0.5,9,72.25,2.1
0,8.1,81.5,0.83
20.5,7.6,80.75,1.03
4.2,8.5,82.5,1.2
1.6,9.5,78,1.47
0,7.5,81.5,1.6
0,9.8,74.5,1.53
0,7.5,78.25,1.43
1.7,7.3,78.75,1.47
0,8.4,79.25,1.3
48.5,9,76.5,2.2
0,7.8,80,2.07
24,7.6,82.25,1.43
36,7.2,84.25,1.97
0,9.5,76.25,1.63
0,9.1,73,1.37
0,7,80.25,0.7
4.3,7.1,81.25,1.2
0,7.6,79,1.23
0,7.9,78.75,0.93
0,8.5,77.25,1.97
0.5,7.7,83.25,0.6
18,5.7,84.25,1.3
4.9,6.9,82.25,1.37
0,9.2,79.75,1.57
0.3,7.7,83.25,1.43
9.6,7.6,82.25,1.37
3.7,9,75,2.17
0,7.4,85.5,1.1
23.9,7.9,83.25,1.6
13,8.8,80.25,1.53
13.2,8.4,78.75,1.23
0,6.3,77.5,1.17
0,4.4,81,1.03
10.2,4.8,88.75,1.13
10.2,4.9,85.75,1.87
23.5,5.4,80,1.33
0,4.9,85.25,0.7
0,2,82.75,1.33
